pulseheight,counts_ch_A,counts_ch_B
2.0202020202020203,0,0
6.0606060606060606,0,0
10.1010101010101,160,0
14.141414141414142,180,0
18.181818181818183,259,0
22.22222222222222,325,0
26.262626262626263,316,0
30.303030303030305,316,0
34.343434343434346,338,0
38.38383838383839,331,0
42.42424242424243,311,0
46.464646464646464,340,0
50.505050505050505,384,0
54.54545454545455,370,0
58.58585858585859,327,0
62.62626262626263,264,0
66.66666666666667,222,0
70.70707070707071,225,0
74.74747474747475,200,0
78.7878787878788,182,0
82.82828282828284,155,0
86.86868686868688,169,0
90.90909090909092,133,0
94.94949494949495,152,0
98.98989898989899,147,0
103.03030303030303,142,0
107.07070707070707,129,0
111.11111111111111,129,0
115.15151515151516,125,0
119.1919191919192,116,0
123.23232323232324,75,0
127.27272727272728,57,0
131.31313131313132,53,0
135.35353535353536,35,0
139.3939393939394,40,0
143.43434343434345,33,0
147.4747474747475,51,0
151.51515151515153,40,0
155.55555555555557,62,0
159.5959595959596,75,0
163.63636363636365,187,0
167.6767676767677,340,0
171.71717171717174,517,0
175.75757575757578,493,0
179.79797979797982,340,0
183.83838383838386,121,0
187.8787878787879,36,0
191.91919191919192,27,0
195.95959595959596,22,0
200.0,20,0
204.04040404040404,13,0
208.08080808080808,16,0
212.12121212121212,15,0
216.16161616161617,16,0
220.2020202020202,9,0
224.24242424242425,6,0
228.2828282828283,9,0
232.32323232323233,5,0
236.36363636363637,5,0
240.40404040404042,10,0
244.44444444444446,7,0
248.4848484848485,7,0
252.52525252525254,3,0
256.5656565656566,3,0
260.6060606060606,7,0
264.64646464646466,4,0
268.6868686868687,2,0
272.72727272727275,3,0
276.7676767676768,5,0
280.80808080808083,0,0
284.8484848484849,1,0
288.8888888888889,3,0
292.92929292929296,8,0
296.969696969697,4,0
301.01010101010104,4,0
305.0505050505051,1,0
309.0909090909091,2,0
313.13131313131316,4,0
317.1717171717172,4,0
321.21212121212125,5,0
325.2525252525253,3,0
329.29292929292933,0,0
333.33333333333337,2,0
337.3737373737374,2,0
341.41414141414145,0,0
345.4545454545455,2,0
349.49494949494954,3,0
353.5353535353536,1,0
357.5757575757576,1,0
361.61616161616166,1,0
365.6565656565657,5,0
369.69696969696975,4,0
373.7373737373738,2,0
377.7777777777778,5,0
381.81818181818187,5,0
385.8585858585859,1,0
389.8989898989899,1,0
393.93939393939394,0,0
397.979797979798,53,0
